# ERROR ANALYSIS
# Metric                  LLM Beam Search       RNN Baseline   Difference
# ----------------------------------------------------------------------
# Substitutions                       673                542         +131
# Insertions                           26                 31           -5
# Deletions                            41                 21          +20
# ----------------------------------------------------------------------
# Total Errors                        740                594         +146
# Hits (Correct)                     8731               8882         -151
# ----------------------------------------------------------------------
# WER                              7.83%             6.29%       +1.55%
#
id,llm_wer,baseline_wer,category,ground_truth,llm_prediction,baseline_prediction
7,0.17,0.17,SAME,this is like a cruelty joke,This is like a quarantine joke.,this is like a crusty joke
16,0.1,0.0,WORSE,he is also a member of the royal irish academy,He is also a member of the Royal Iris Academy.,he is also a member of the royal irish academy
20,0.11,0.0,WORSE,you just really can't tell what's going to happen,You just really can't tell what's going to.,you just really can't tell what's going to happen
23,0.2,0.0,WORSE,it's really not too difficult,It's really not too.,it's really not too difficult
29,0.12,0.12,SAME,and it also helps when they were winning,And it also helps when they were wedding.,and it also helps when they were wearing
46,0.14,0.14,SAME,i don't know where the answer is,I don't know where the sensor is.,i don't know where the house is
53,0.14,0.0,WORSE,he said he's been saying one more,He said he's been seeing one more.,he said he's been saying one more
54,0.0,0.12,BETTER,i can't really think of anything else offhand,I can't really think of anything else offhand.,i can't really think of anything else fate
55,0.11,0.0,WORSE,i couldn't even think of what you call them,I couldn't mission think of what you call them.,i couldn't even think of what you call them
67,0.25,0.25,SAME,he put up all of his ash trays,He put up all of his axe trees.,he put up all of his oak trees
73,0.33,0.33,SAME,invasion of burma,Invasion of Rommel.,invasion of mobile
74,0.1,0.2,BETTER,i guess we don't really use that many tin cans,I guess we don't really use that many tin cats.,i guess we don't really use that many ten cats
77,0.0,0.2,BETTER,he had a hot pad,He had a hot pad.,he had a hot pan
84,0.09,0.0,WORSE,do you go by the ads when you look at them,Do you go by the hands when you look at them?,do you go by the ads when you look at them
92,0.17,0.33,BETTER,their economy's a little bit weak,their condiments a little bit weak.,their economy it's a little bit weak
106,0.14,0.0,WORSE,i have some neighbors across the field,I have some neighbours across the field.,i have some neighbors across the field
118,0.2,0.0,WORSE,it's a weakness and all,It's a wellness and all.,it's a weakness and all
123,0.4,0.4,SAME,streaming season is opening boys,Dreaming season is open boys!,driving season is open boys
127,0.2,0.0,WORSE,the victims' families and things,The Fifties Families and Things.,the victims' families and things
134,0.2,0.0,WORSE,it's like a major production,It's like a major.,it's like a major production
135,0.1,0.0,WORSE,we ended up watching it for a couple of hours,We ended up watching it for a couple of.,we ended up watching it for a couple of hours
136,0.25,0.25,SAME,you live in garland,You live in?,you live in cali
137,0.33,0.0,WORSE,anything on that,Anything on?,anything on that
148,0.2,0.0,WORSE,helps them understand the world,helps them understand the.,helps them understand the world
150,0.17,0.17,SAME,i like that they run tense,I like that they run.,i like that they run tests
151,0.12,0.12,SAME,just like how you said my father was,Just like how you said my father.,just like how you said my father why
153,0.33,0.0,WORSE,guided by voices,Guided by.,guided by voices
155,0.18,0.09,WORSE,i wanted him to win best actor on top of it,I wouldn't him to win best actor on top of.,i wouldn't him to win best actor on top of it
157,0.17,0.0,WORSE,you look down at your arm,You look down at your hom.,you look down at your arm
158,0.67,0.67,SAME,the bermuda triangle,The permit.,the permit trial
159,0.5,0.5,SAME,he's nine months old,He's dead most old.,he's the most old
161,0.33,0.33,SAME,a male profession,A male.,a male professor
162,0.5,0.25,WORSE,the islanders sleep inside,The lovers sleep.,the lovers sleep inside
163,0.2,0.4,BETTER,they are the detroit delegates,They are the Detroit.,they are the detroit tell us
164,0.67,0.0,WORSE,they have coupons,They have cute pies.,they have coupons
