# ERROR ANALYSIS
# Metric                  LLM Beam Search       RNN Baseline   Difference
# ----------------------------------------------------------------------
# Substitutions                       686                542         +144
# Insertions                           35                 31           +4
# Deletions                            42                 21          +21
# ----------------------------------------------------------------------
# Total Errors                        763                594         +169
# Hits (Correct)                     8717               8882         -165
# ----------------------------------------------------------------------
# WER                              8.08%             6.29%       +1.79%
#
# WER ON WORSE TRIALS ONLY (205 trials):
# LLM WER                         26.78%
# Baseline WER                     5.88%
#
# WER ON RANDOM SUBSET OF 50 WORSE TRIALS (seed=42):
# LLM WER                         26.70%
# Baseline WER                     6.27%
#
# RANDOM 50 SUBSET INDICES (50 trials):
4 55 84 106 134 174 176 178 203 219 301 323 333 430 441 467 468 486 493 522 527 528 595 596 597 607 690 726 731 850 962 1012 1085 1143 1150 1154 1251 1261 1280 1289 1333 1346 1349 1353 1365 1379 1384 1387 1417 1418
#
# WER ON RANDOM SUBSET OF 25 WORSE TRIALS (seed=42):
# LLM WER                         27.17%
# Baseline WER                     7.61%
#
# RANDOM 25 SUBSET INDICES (25 trials):
55 84 106 174 176 203 219 301 441 468 486 493 527 731 962 1012 1085 1150 1154 1251 1289 1353 1365 1417 1418
#
# WER ON RANDOM SUBSET OF 10 WORSE TRIALS (seed=42):
# LLM WER                         19.44%
# Baseline WER                     0.00%
#
# RANDOM 10 SUBSET INDICES (10 trials):
55 203 219 301 468 493 527 1251 1353 1365
#
# WORSE TRIAL INDICES (205 trials):
3 4 10 16 23 53 55 84 106 107 132 134 135 137 144 148 153 155 157 164 165 168 174 176 178 193 203 213 219 234 235 252 267 288 299 301 302 316 321 323 333 343 361 372 381 387 390 393 408 410 430 432 435 436 440 441 467 468 477 486 488 489 493 494 504 508 516 522 523 525 527 528 538 540 541 543 549 560 576 581 582 583 586 587 590 591 595 596 597 598 599 607 611 618 621 686 687 690 694 695 698 699 707 708 711 718 724 726 731 736 740 750 763 803 850 856 859 868 873 891 906 910 918 936 942 950 955 956 957 962 970 991 993 997 998 999 1000 1002 1005 1012 1040 1059 1074 1085 1098 1105 1107 1115 1117 1133 1143 1150 1151 1152 1154 1183 1184 1191 1211 1213 1223 1224 1230 1251 1252 1255 1261 1263 1268 1270 1274 1276 1280 1289 1309 1312 1315 1316 1320 1324 1329 1332 1333 1334 1335 1346 1349 1351 1353 1365 1370 1377 1379 1384 1386 1387 1391 1397 1401 1404 1415 1417 1418 1420 1423
#
id,llm_wer,baseline_wer,category,ground_truth,llm_prediction,baseline_prediction
3,0.11,0.0,WORSE,the jury and a judge work together on it,the jury and the judge work together on it.,the jury and a judge work together on it
4,0.4,0.0,WORSE,were quite vocal about it,we are quite vocal about it.,were quite vocal about it
7,0.0,0.17,BETTER,this is like a cruelty joke,this is like a cruelty joke.,this is like a crusty joke
10,0.12,0.0,WORSE,wait a minute we know this thing isn't,what a minute we know this thing isn't.,wait a minute we know this thing isn't
16,0.3,0.0,WORSE,he is also a member of the royal irish academy,he is also a member of the real iris addendum.,he is also a member of the royal irish academy
23,0.2,0.0,WORSE,it's really not too difficult,it's really not too.,it's really not too difficult
29,0.12,0.12,SAME,and it also helps when they were winning,and it also helps when they were reading.,and it also helps when they were wearing
46,0.14,0.14,SAME,i don't know where the answer is,i don't know where the sensor is.,i don't know where the house is
53,0.14,0.0,WORSE,he said he's been saying one more,he said he's been seeing one more.,he said he's been saying one more
54,0.0,0.12,BETTER,i can't really think of anything else offhand,i can't really think of anything else offhand.,i can't really think of anything else fate
55,0.11,0.0,WORSE,i couldn't even think of what you call them,i couldn't mission think of what you call them.,i couldn't even think of what you call them
67,0.25,0.25,SAME,he put up all of his ash trays,he put up all of his axe trees.,he put up all of his oak trees
73,0.33,0.33,SAME,invasion of burma,invasion of family.,invasion of mobile
74,0.1,0.2,BETTER,i guess we don't really use that many tin cans,i guess we don't really use that many tin cats.,i guess we don't really use that many ten cats
77,0.0,0.2,BETTER,he had a hot pad,he had a hot pad.,he had a hot pan
84,0.09,0.0,WORSE,do you go by the ads when you look at them,do you go by the hands when you look at them?,do you go by the ads when you look at them
92,0.17,0.33,BETTER,their economy's a little bit weak,their condiments a little bit weak.,their economy it's a little bit weak
106,0.14,0.0,WORSE,i have some neighbors across the field,i have some neighbours across the field.,i have some neighbors across the field
107,0.17,0.0,WORSE,have some part of the law,i have some part of the law.,have some part of the law
123,0.4,0.4,SAME,streaming season is opening boys,dreaming season is open boys!,driving season is open boys
132,0.17,0.0,WORSE,lawmakers passed a measure last year,lawmakers passed the measure last year.,lawmakers passed a measure last year
134,0.4,0.0,WORSE,it's like a major production,it's like a manger.,it's like a major production
135,0.1,0.0,WORSE,we ended up watching it for a couple of hours,we ended up watching it for a couple of.,we ended up watching it for a couple of hours
136,0.25,0.25,SAME,you live in garland,you live in?,you live in cali
137,0.33,0.0,WORSE,anything on that,anything on?,anything on that
144,0.25,0.0,WORSE,what is it called,what is it?,what is it called
148,0.2,0.0,WORSE,helps them understand the world,helps them understand the.,helps them understand the world
150,0.17,0.17,SAME,i like that they run tense,i like that they run.,i like that they run tests
151,0.12,0.12,SAME,just like how you said my father was,just like how you said my father.,just like how you said my father why
153,0.67,0.0,WORSE,guided by voices,garden by.,guided by voices
155,0.18,0.09,WORSE,i wanted him to win best actor on top of it,i wouldn't him to win best actor on top of.,i wouldn't him to win best actor on top of it
157,0.17,0.0,WORSE,you look down at your arm,you look down at your home.,you look down at your arm
158,0.67,0.67,SAME,the bermuda triangle,the permit.,the permit trial
161,0.33,0.33,SAME,a male profession,a male.,a male professor
162,0.25,0.25,SAME,the islanders sleep inside,the islanders sleep.,the lovers sleep inside
163,0.2,0.4,BETTER,they are the detroit delegates,they are the detroit.,they are the detroit tell us
164,0.33,0.0,WORSE,they have coupons,they have.,they have coupons
165,0.8,0.4,WORSE,i can't believe they can,i get bitterness.,i get it they can
167,0.14,0.14,SAME,in a new house everything is white,in a new house everything is.,in a new house everything is what
168,0.25,0.0,WORSE,easiest way out maybe,easiest way out?,easiest way out maybe
169,0.5,0.5,SAME,that will help solve our problems,that will have some our.,that will have some our problem
172,0.17,0.17,SAME,there are also these various disclosures,there are also these various.,there are also these various disclosure
174,0.67,0.0,WORSE,no easy choices,so easy!,no easy choices
176,0.5,0.12,WORSE,on probation or parole and killed someone else,on probation for before and get someone.,on probation or parole and killed someone
178,0.43,0.29,WORSE,i don't think they're in a conspiracy,i don't think there is a.,i don't think there is a conspiracy
180,0.11,0.11,SAME,trump's budget is just a proposal at this point,trust trumps budget is just a proposal at this point.,from trump's budget is just a proposal at this point
193,0.12,0.0,WORSE,tim would like to take on other genres,tim would like to take on other sheriffs.,tim would like to take on other genres
203,0.17,0.0,WORSE,you can't get all of us,no you can't get all of us.,you can't get all of us
213,0.5,0.0,WORSE,tactical decision,technical decision.,tactical decision
219,0.25,0.0,WORSE,a liberal arts school,a a liberal arts school.,a liberal arts school
222,0.0,0.33,BETTER,you actually hand quilted it yourself,you actually hand quilted it yourself?,you actually had wanted it yourself
231,0.0,0.12,BETTER,owning on them and making payments on them,owning on them and making payments on them.,owning on them than making payments on them
234,0.5,0.0,WORSE,just the regular channel,just the creditor.,just the regular channel
235,0.25,0.0,WORSE,he plays pretty regularly,he plays pretty.,he plays pretty regularly
238,0.11,0.11,SAME,oh well no point in dwelling on the past,oh well no point in wailing on the past.,well no point in dwelling on the past
242,1.0,2.5,BETTER,zoology department,you lit.,you call it a party
247,0.17,0.5,BETTER,pay and exhaustion and you know,pay and exception and you know.,an exception and you know
249,0.2,0.2,SAME,a restaurant that employs minorities,a restaurant that employs.,a restaurant that employs minority
252,0.29,0.14,WORSE,i have more energy when i exercise,i have more interesting when i.,i have more energy when i injustices
253,0.0,0.5,BETTER,probably seventies,probably seventies.,probably seventy
254,0.0,0.11,BETTER,the court is yet to make its decision public,the court is yet to make its decision public.,the card is yet to make its decision public
258,0.0,0.17,BETTER,that kind of threw them off,that kind of threw them off.,that kind of threw them of
267,0.5,0.25,WORSE,regime change in iran,rigid change in around.,regime change in early
268,0.0,0.12,BETTER,there is some definite snark in her report,there is some definite snark in her report.,there is some definite stock in her report
272,0.25,0.25,SAME,he was a courier,he was a carrier.,he was a carry
273,0.2,0.2,SAME,here in indiana we pay,here in industrial we pay.,here in india we pay
278,0.33,0.33,SAME,ambiance down there,ambience down there.,obvious down there
284,0.0,0.2,BETTER,they are tempting at times,they are tempting at times.,they are something at times
286,0.0,0.17,BETTER,put a cramp in your viewing,put a cramp in your viewing.,but a cramp in your viewing
287,0.0,0.17,BETTER,the vines are really taking over,the vines are really taking over.,the fines are really taking over
288,0.14,0.0,WORSE,governor the people of detroit don't forget,governor the people of destroyed don't forget.,governor the people of detroit don't forget
291,0.0,0.25,BETTER,i have a standard,i have a standard.,i have a stern
292,0.2,0.2,SAME,i don't want any interruptions,i don't want any interactions.,i don't want any answers
294,0.0,0.09,BETTER,i love all the windows that they have out now too,i love all the windows that they have out now too.,i love all the wonders that they have out now too
299,0.2,0.0,WORSE,the thing that should be,the things that should be.,the thing that should be
301,0.25,0.0,WORSE,because that's perfectly clean,because that's presently clean.,because that's perfectly clean
302,0.14,0.0,WORSE,make him feel like he wasn't wanted,i make him feel like he wasn't wanted.,make him feel like he wasn't wanted
305,0.0,0.25,BETTER,i don't like administration,i don't like administration.,i don't like a
316,0.43,0.0,WORSE,a producer of movies in baltimore called,the prohibition of movies in parliament called.,a producer of movies in baltimore called
317,0.0,0.25,BETTER,just all different colors,just all different colors.,just all different college
318,0.0,0.25,BETTER,barbecues and mexican food,barbecues and mexican food.,beans and mexican food
321,0.14,0.0,WORSE,i have my own policy on freeloaders,i have my own policy on freeloading.,i have my own policy on freeloaders
323,0.25,0.0,WORSE,snuggle up to you,struggle up to you.,snuggle up to you
332,0.08,0.08,SAME,this is the price paid for counting eggs rather than chicken embryos,this is the price paid for counting eggs rather than chicken ambiance.,this is the price paid for counting eggs rather than chicken habeas
333,0.18,0.09,WORSE,grassley grew up on a family farm where he still works,leslie grew up on the family farm where he still works.,leslie grew up on a family farm where he still works
335,0.0,0.08,BETTER,and everyone involved in the case bar the jury had been here before,and everyone involved in the case bar the jury had been here before.,and everyone involved in the case for the jury had been here before
338,0.09,0.09,SAME,oh so you need to put away the milk and cereal,hey so you need to put away the milk and cereal.,so you need to put away the milk and cereal
342,0.11,0.22,BETTER,i'm not even disputing the results of the board,i'm not even disputing the results of the point.,i'm not even disputing the result of the point
343,0.12,0.0,WORSE,and hurricane jose had not turned north yet,and hurricane harvey had not turned north yet.,and hurricane jose had not turned north yet
347,0.33,0.44,BETTER,i just stood there and soaked it all up,i just to start there and set it all up.,just to start there and set it all up
349,0.25,0.25,SAME,i was on crutches,i was on trenches.,i was on trenton
354,0.43,0.43,SAME,the sticky slide rugs under the carpet,the stinging cloud grass under the carpet.,the stinking cloud grass under the carpet
361,0.14,0.0,WORSE,wilkinson had no regrets about her decision,wantonness had no regrets about her decision.,wilkinson had no regrets about her decision
370,0.4,0.4,SAME,like the old hank williams,like the old week winners?,like the old he was
372,0.33,0.17,WORSE,taylor attributed this to confirmation bias,taylor indigenous this to confirmation buyers.,dealer attributed this to confirmation bias
376,0.07,0.07,SAME,he can consistently score the damage you need to prowl your hand into play,he can consistently score the damage you need to trial your hand into play.,he can consistently score the damage you need to roll your hand into play
377,0.4,0.6,BETTER,this is headache powders revisited,this is heading powders revision.,this is adding powers revision
380,0.18,0.18,SAME,pasquale thinks a similar argument should be made for search engines,bastille is a similar argument should be made for search engines.,swell things a similar argument should be made for search engines
381,0.44,0.11,WORSE,the hercules and rainbow stag beetles are highlights here,the hercules and grable stack middles are headlines here.,the hercules and rainbow stag beetles are headlines here
384,0.11,0.11,SAME,the news and stories that matter delivered weekday mornings,the news and stories that matter delivered wednesday mornings.,the news and stories that matter delivered winter mornings
