# ERROR ANALYSIS
# Metric                  LLM Beam Search       RNN Baseline   Difference
# ----------------------------------------------------------------------
# Substitutions                       437                358          +79
# Insertions                           20                 24           -4
# Deletions                            28                 15          +13
# ----------------------------------------------------------------------
# Total Errors                        485                397          +88
# Hits (Correct)                     6438               6530          -92
# ----------------------------------------------------------------------
# WER                              7.03%             5.75%       +1.27%
#
# WER ON WORSE TRIALS ONLY (119 trials):
# LLM WER                         25.96%
# Baseline WER                     7.02%
#
# WER ON RANDOM SUBSET OF 50 WORSE TRIALS (seed=42):
# LLM WER                         26.63%
# Baseline WER                     7.93%
#
# RANDOM 50 SUBSET INDICES (50 trials):
16 106 118 164 165 167 168 180 213 219 301 316 343 372 387 393 411 467 488 489 502 530 534 542 581 591 595 618 687 695 699 711 718 731 740 826 856 906 936 942 956 957 962 970 992 993 1002 1006 1012 1015
#
# WER ON RANDOM SUBSET OF 25 WORSE TRIALS (seed=42):
# LLM WER                         28.49%
# Baseline WER                     7.82%
#
# RANDOM 25 SUBSET INDICES (25 trials):
106 118 164 167 168 180 316 343 372 387 411 534 581 591 595 618 687 699 731 856 942 962 993 1012 1015
#
# WER ON RANDOM SUBSET OF 10 WORSE TRIALS (seed=42):
# LLM WER                         21.92%
# Baseline WER                     4.11%
#
# RANDOM 10 SUBSET INDICES (10 trials):
106 167 168 180 343 387 411 699 731 856
#
# WORSE TRIAL INDICES (119 trials):
16 53 84 106 118 127 141 148 155 157 162 164 165 167 168 172 176 180 203 213 219 234 252 267 294 301 304 316 343 372 381 387 390 393 404 411 430 431 432 435 436 440 441 467 488 489 493 494 502 506 508 519 528 530 534 538 540 542 543 549 560 565 576 577 581 582 586 587 590 591 593 595 596 599 607 618 621 687 690 693 695 699 708 711 718 726 731 736 739 740 763 826 850 851 856 859 868 873 891 906 936 942 955 956 957 962 970 990 991 992 993 999 1002 1005 1006 1012 1015 1038 1045
#
id,llm_wer,baseline_wer,category,ground_truth,llm_prediction,baseline_prediction
7,0.17,0.17,SAME,this is like a cruelty joke,This is like a quarantine joke.,this is like a crusty joke
16,0.2,0.0,WORSE,he is also a member of the royal irish academy,He is also a member of the Royal Iris Addendum.,he is also a member of the royal irish academy
29,0.12,0.12,SAME,and it also helps when they were winning,And it also helps when they were wedding.,and it also helps when they were wearing
46,0.0,0.14,BETTER,i don't know where the answer is,I don't know where the answer is.,i don't know where the house is
47,0.2,0.2,SAME,where'd you get the car,Would you get the car?,why'd you get the car
53,0.14,0.0,WORSE,he said he's been saying one more,He said he's been seeing one more.,he said he's been saying one more
54,0.0,0.12,BETTER,i can't really think of anything else offhand,I can't really think of anything else offhand.,i can't really think of anything else fate
73,0.33,0.33,SAME,invasion of burma,Invasion of Rommel.,invasion of mobile
74,0.1,0.2,BETTER,i guess we don't really use that many tin cans,I guess we don't really use that many tin cats.,i guess we don't really use that many ten cats
77,0.0,0.2,BETTER,he had a hot pad,He had a hot pad.,he had a hot pan
84,0.09,0.0,WORSE,do you go by the ads when you look at them,Do you go buy the ads when you look at them?,do you go by the ads when you look at them
89,0.0,0.12,BETTER,i think the roles now are less defined,I think the roles now are less defined.,i think the roads now are less defined
92,0.17,0.33,BETTER,their economy's a little bit weak,Their condiments a little bit weak.,their economy it's a little bit weak
106,0.14,0.0,WORSE,i have some neighbors across the field,I have some neighbours across the field.,i have some neighbors across the field
118,0.2,0.0,WORSE,it's a weakness and all,It's a wellness and all.,it's a weakness and all
123,0.4,0.4,SAME,streaming season is opening boys,Dreaming Season is open boys!,driving season is open boys
127,0.2,0.0,WORSE,the victims' families and things,The Fifties Families and Things.,the victims' families and things
136,0.25,0.25,SAME,you live in garland,You live in?,you live in cali
141,0.25,0.12,WORSE,i was really working with the middle class,I was really working with the model.,i was really working with the middle
148,0.2,0.0,WORSE,helps them understand the world,Helps them understand the.,helps them understand the world
150,0.17,0.17,SAME,i like that they run tense,I like that they run.,i like that they run tests
151,0.0,0.12,BETTER,just like how you said my father was,Just like how you said my father was.,just like how you said my father why
155,0.18,0.09,WORSE,i wanted him to win best actor on top of it,I wouldn't him to win best actor on top of.,i wouldn't him to win best actor on top of it
157,0.17,0.0,WORSE,you look down at your arm,You look down at your.,you look down at your arm
158,0.67,0.67,SAME,the bermuda triangle,The permit.,the permit trial
161,0.33,0.33,SAME,a male profession,A male.,a male professor
162,0.5,0.25,WORSE,the islanders sleep inside,The islands sleep.,the lovers sleep inside
163,0.2,0.4,BETTER,they are the detroit delegates,They are the Detroit.,they are the detroit tell us
164,0.33,0.0,WORSE,they have coupons,They have.,they have coupons
165,0.6,0.4,WORSE,i can't believe they can,I can't bither.,i get it they can
167,0.29,0.14,WORSE,in a new house everything is white,In the new house everything is.,in a new house everything is what
168,0.25,0.0,WORSE,easiest way out maybe,Easiest Way Out?,easiest way out maybe
169,0.5,0.5,SAME,that will help solve our problems,That will have some our.,that will have some our problem
172,0.33,0.17,WORSE,there are also these various disclosures,There are also this various.,there are also these various disclosure
176,0.38,0.12,WORSE,on probation or parole and killed someone else,On profession or befall and killed someone.,on probation or parole and killed someone
180,0.22,0.11,WORSE,trump's budget is just a proposal at this point,Trump Trump's budget is just a propeller at this point.,from trump's budget is just a proposal at this point
203,0.17,0.0,WORSE,you can't get all of us,No you can't get all of us.,you can't get all of us
213,0.5,0.0,WORSE,tactical decision,Technical Decision.,tactical decision
219,0.25,0.0,WORSE,a liberal arts school,A A Liberal Arts School.,a liberal arts school
234,0.25,0.0,WORSE,just the regular channel,Just the regular.,just the regular channel
238,0.11,0.11,SAME,oh well no point in dwelling on the past,Oh well no point in wailing on the past.,well no point in dwelling on the past
242,1.0,2.5,BETTER,zoology department,Utility Depart.,you call it a party
247,0.17,0.5,BETTER,pay and exhaustion and you know,Pay and accession and you know.,an exception and you know
249,0.0,0.2,BETTER,a restaurant that employs minorities,A restaurant that employs minorities.,a restaurant that employs minority
252,0.29,0.14,WORSE,i have more energy when i exercise,I have more innocent when I injustices.,i have more energy when i injustices
258,0.0,0.17,BETTER,that kind of threw them off,That kind of threw them off.,that kind of threw them of
267,0.5,0.25,WORSE,regime change in iran,Routine change in around.,regime change in early
272,0.25,0.25,SAME,he was a courier,He was a Tory.,he was a carry
284,0.0,0.2,BETTER,they are tempting at times,They are tempting at times.,they are something at times
286,0.0,0.17,BETTER,put a cramp in your viewing,Put a Cramp in Your Viewing!,but a cramp in your viewing
287,0.17,0.17,SAME,the vines are really taking over,The signs are really taking over.,the fines are really taking over
291,0.0,0.25,BETTER,i have a standard,I have a standard.,i have a stern
292,0.2,0.2,SAME,i don't want any interruptions,I don't want any interactions.,i don't want any answers
294,0.18,0.09,WORSE,i love all the windows that they have out now too,I love all the winders that they have out now to.,i love all the wonders that they have out now too
301,0.25,0.0,WORSE,because that's perfectly clean,Because that's probably clean.,because that's perfectly clean
304,0.25,0.0,WORSE,they're just so suspenseful,There just so suspenseful.,they're just so suspenseful
305,0.0,0.25,BETTER,i don't like administration,I don't like administration.,i don't like a
316,0.29,0.0,WORSE,a producer of movies in baltimore called,A prohibition of movies in Parliament called.,a producer of movies in baltimore called
318,0.0,0.25,BETTER,barbecues and mexican food,Barbecues and Mexican food.,beans and mexican food
332,0.08,0.08,SAME,this is the price paid for counting eggs rather than chicken embryos,This is the price paid for counting eggs rather than chicken ambiance.,this is the price paid for counting eggs rather than chicken habeas
335,0.0,0.08,BETTER,and everyone involved in the case bar the jury had been here before,And everyone involved in the case bar the jury had been here before.,and everyone involved in the case for the jury had been here before
338,0.09,0.09,SAME,oh so you need to put away the milk and cereal,Hey so you need to put away the milk and cereal.,so you need to put away the milk and cereal
342,0.11,0.22,BETTER,i'm not even disputing the results of the board,I'm not even disputing the results of the point.,i'm not even disputing the result of the point
343,0.25,0.0,WORSE,and hurricane jose had not turned north yet,And Oregon also had not turned north yet.,and hurricane jose had not turned north yet
347,0.33,0.44,BETTER,i just stood there and soaked it all up,I just to start there and set it all up.,just to start there and set it all up
349,0.25,0.25,SAME,i was on crutches,I was on trenches.,i was on trenton
354,0.43,0.43,SAME,the sticky slide rugs under the carpet,The stinging cloud grass under the carpet.,the stinking cloud grass under the carpet
370,0.4,0.4,SAME,like the old hank williams,Like the old week winners?,like the old he was
372,0.33,0.17,WORSE,taylor attributed this to confirmation bias,Taylor encouragement this to confirmation buyers.,dealer attributed this to confirmation bias
376,0.07,0.07,SAME,he can consistently score the damage you need to prowl your hand into play,He can consistently score the damage you need to trial your hand into play.,he can consistently score the damage you need to roll your hand into play
377,0.4,0.6,BETTER,this is headache powders revisited,This is heading powders revision.,this is adding powers revision
380,0.18,0.18,SAME,pasquale thinks a similar argument should be made for search engines,Buswell is a similar argument should be made for search engines.,swell things a similar argument should be made for search engines
381,0.44,0.11,WORSE,the hercules and rainbow stag beetles are highlights here,The Hercules and Grable Stack medals are headlines here.,the hercules and rainbow stag beetles are headlines here
384,0.11,0.11,SAME,the news and stories that matter delivered weekday mornings,The news and stories that matter delivered Wednesday mornings.,the news and stories that matter delivered winter mornings
387,0.09,0.0,WORSE,are either or both dogs considered dangerous under davis county ordinance,Are either or both dogs decided dangerous under Davis County ordinance?,are either or both dogs considered dangerous under davis county ordinance
390,0.12,0.0,WORSE,the quantity you chose exceeds the quantity available,The quantity you chose isn't the quantity available.,the quantity you chose exceeds the quantity available
393,0.1,0.0,WORSE,is it a novelty or a real coin of importance,Is it a novelty or a real kind of importance?,is it a novelty or a real coin of importance
404,0.14,0.0,WORSE,they were pretty much in good taste,They were pretty much in good tastes.,they were pretty much in good taste
411,0.25,0.0,WORSE,see things like that,C things like that.,see things like that
419,0.25,0.25,SAME,almost like a tingling,Almost like a dealing.,almost like a killing
421,0.25,0.25,SAME,i noticed those dogs,I noticed those tags.,i noticed those talks
430,0.3,0.1,WORSE,there are no more vehicle tokens spread across the map,There are no more vehicle talkers straight at the map.,there are no more vehicle tokens spread out the map
431,0.12,0.0,WORSE,where is the evidence that they possess consciousness,Where is the evidence that they possess consciences?,where is the evidence that they possess consciousness
432,0.22,0.0,WORSE,nevertheless i roll my eyes as i get up,Nevertheless I role my house as I get up.,nevertheless i roll my eyes as i get up
433,0.38,0.5,BETTER,people will do humiliating grotesque things for ambition,People will do immunity protects things for addition.,people will do much to protect things for a
435,0.44,0.11,WORSE,they send off emissaries to start new cancer colonies,They said if emissions to start new cancer colleges.,they set off emissaries to start new cancer colonies
436,0.09,0.0,WORSE,you actually look forward to foxes or raccoons raiding your garbage,You actually look forward to foxes or records raiding your garbage.,you actually look forward to foxes or raccoons raiding your garbage
