# ERROR ANALYSIS
# Metric                  LLM Beam Search       RNN Baseline   Difference
# ----------------------------------------------------------------------
# Substitutions                       998                542         +456
# Insertions                           16                 31          -15
# Deletions                           193                 21         +172
# ----------------------------------------------------------------------
# Total Errors                       1207                594         +613
# Hits (Correct)                     8254               8882         -628
# ----------------------------------------------------------------------
# WER                             12.78%             6.29%       +6.49%
#
# WER ON WORSE TRIALS ONLY (423 trials):
# LLM WER                         27.57%
# Baseline WER                     5.42%
#
# WER ON RANDOM SUBSET OF 50 WORSE TRIALS (seed=42):
# LLM WER                         27.09%
# Baseline WER                     5.76%
#
# RANDOM 50 SUBSET INDICES (50 trials):
16 51 53 61 69 165 172 174 177 193 261 301 318 372 387 389 390 393 430 440 489 503 513 580 582 584 594 622 739 748 829 942 1005 1045 1091 1092 1102 1103 1142 1151 1222 1268 1272 1289 1324 1327 1349 1351 1402 1412
#
# WER ON RANDOM SUBSET OF 25 WORSE TRIALS (seed=42):
# LLM WER                         30.59%
# Baseline WER                     8.24%
#
# RANDOM 25 SUBSET INDICES (25 trials):
51 53 61 69 165 172 177 193 261 372 389 393 430 440 503 748 942 1005 1045 1092 1102 1142 1222 1324 1327
#
# WER ON RANDOM SUBSET OF 10 WORSE TRIALS (seed=42):
# LLM WER                         33.33%
# Baseline WER                    12.00%
#
# RANDOM 10 SUBSET INDICES (10 trials):
51 177 193 261 393 440 503 1142 1324 1327
#
# WORSE TRIAL INDICES (423 trials):
4 7 8 16 18 20 23 30 37 39 40 47 51 53 55 61 69 73 74 76 88 94 97 99 101 106 108 113 115 118 119 134 135 137 139 146 148 153 155 156 157 160 162 164 165 166 168 172 173 174 175 176 177 179 180 181 191 193 201 203 219 226 229 234 235 238 245 249 252 254 260 261 264 267 273 286 294 296 300 301 316 318 321 326 328 331 332 336 337 339 340 343 344 345 346 351 352 353 356 360 361 372 373 374 379 380 381 383 385 386 387 389 390 392 393 398 404 408 428 430 431 432 435 436 437 440 441 442 443 444 455 456 457 473 488 489 492 493 494 502 503 506 513 514 516 518 519 522 525 527 528 530 532 533 534 535 536 538 539 540 541 542 543 544 548 549 550 551 571 576 577 578 580 581 582 583 584 585 586 587 590 591 593 594 595 596 597 598 599 604 610 611 614 618 622 641 663 665 688 690 692 693 694 699 703 704 706 711 715 718 724 729 731 736 739 740 748 753 763 770 774 776 782 785 798 802 807 810 819 829 831 833 843 845 847 850 852 856 859 862 863 865 870 873 877 879 891 897 906 910 912 914 918 920 931 934 936 939 942 947 950 952 955 956 957 960 962 970 979 990 991 993 995 997 999 1000 1001 1002 1003 1005 1006 1012 1020 1030 1038 1040 1041 1045 1046 1049 1056 1059 1060 1061 1063 1064 1073 1076 1077 1080 1081 1091 1092 1093 1094 1097 1098 1100 1102 1103 1105 1107 1109 1111 1112 1113 1115 1117 1118 1123 1128 1129 1131 1133 1134 1138 1140 1142 1143 1144 1149 1150 1151 1152 1154 1155 1156 1158 1169 1184 1190 1191 1209 1211 1213 1220 1222 1223 1224 1230 1231 1238 1239 1245 1251 1252 1255 1268 1270 1272 1273 1274 1276 1280 1287 1288 1289 1292 1309 1310 1312 1313 1315 1316 1319 1320 1323 1324 1326 1327 1330 1332 1333 1334 1335 1339 1346 1348 1349 1350 1351 1352 1353 1354 1365 1376 1377 1379 1380 1381 1382 1383 1384 1386 1390 1391 1394 1396 1397 1398 1400 1401 1402 1404 1412 1413 1414 1415 1417 1421 1422 1423 1424
#
id,llm_wer,baseline_wer,category,ground_truth,llm_prediction,baseline_prediction
4,0.2,0.0,WORSE,were quite vocal about it,were quite focal about it,were quite vocal about it
7,0.33,0.17,WORSE,this is like a cruelty joke,this is like a quarantining,this is like a crusty joke
8,0.33,0.0,WORSE,has such a high clay content,has such a high class contained,has such a high clay content
16,0.2,0.0,WORSE,he is also a member of the royal irish academy,he is also a member of the real ira's academy,he is also a member of the royal irish academy
18,0.17,0.0,WORSE,put that back in the saucepan,put that back in the,put that back in the saucepan
20,0.11,0.0,WORSE,you just really can't tell what's going to happen,you just really can't tell what's going to,you just really can't tell what's going to happen
23,0.2,0.0,WORSE,it's really not too difficult,it's really not too,it's really not too difficult
29,0.12,0.12,SAME,and it also helps when they were winning,and it also helps when they were reading,and it also helps when they were wearing
30,0.25,0.0,WORSE,she came last june and watched a game in the sky dome,she came last june and watch a game in the say time,she came last june and watched a game in the sky dome
37,0.5,0.0,WORSE,it's an eighty seven degree day,it's an idea seventy day,it's an eighty seven degree day
39,1.0,0.5,WORSE,employee benefits,employing,employing benefits
40,0.25,0.0,WORSE,how long are we supposed to talk for,how long are we supposed to take four,how long are we supposed to talk for
46,0.0,0.14,BETTER,i don't know where the answer is,i don't know where the answer is,i don't know where the house is
47,0.4,0.2,WORSE,where'd you get the car,why'd ou get the car,why'd you get the car
51,0.33,0.0,WORSE,the grand canyon,the grade canyon,the grand canyon
53,0.14,0.0,WORSE,he said he's been saying one more,he said it's been saying one more,he said he's been saying one more
54,0.12,0.12,SAME,i can't really think of anything else offhand,i can't really think of anything else faint,i can't really think of anything else fate
55,0.11,0.0,WORSE,i couldn't even think of what you call them,i couldn't women think of what you call them,i couldn't even think of what you call them
61,0.2,0.0,WORSE,it kind of wound down,it kind of wild down,it kind of wound down
67,0.25,0.25,SAME,he put up all of his ash trays,he put up all of his actual,he put up all of his oak trees
69,0.17,0.0,WORSE,if there was a credible punishment,if there was a credible,if there was a credible punishment
73,0.67,0.33,WORSE,invasion of burma,envision of mobile,invasion of mobile
74,0.3,0.2,WORSE,i guess we don't really use that many tin cans,i guess we don't really used that many ten cats,i guess we don't really use that many ten cats
76,0.25,0.0,WORSE,i'm originally from maine,i'm originally from main,i'm originally from maine
77,0.0,0.2,BETTER,he had a hot pad,he had a hot pad,he had a hot pan
88,0.2,0.0,WORSE,ninety seven cents a week,nighty seven cents a week,ninety seven cents a week
92,0.33,0.33,SAME,their economy's a little bit weak,they're condiments a little bit weak,their economy it's a little bit weak
94,0.1,0.0,WORSE,i really feel bad for the people i see there,i really feel bad for the people i see their,i really feel bad for the people i see there
97,0.43,0.0,WORSE,afford the payments on a used car,affordability on a used car,afford the payments on a used car
99,0.2,0.0,WORSE,i found that really helps,i find that really helps,i found that really helps
101,0.1,0.0,WORSE,i know we've had this one lady that was attacked,i know we've had this one lady that was,i know we've had this one lady that was attacked
106,0.14,0.0,WORSE,i have some neighbors across the field,i have some neighbours across the field,i have some neighbors across the field
108,0.2,0.0,WORSE,once the children were grown,what's the children were grown,once the children were grown
113,0.25,0.0,WORSE,people donate more money,people didn't more money,people donate more money
115,0.2,0.0,WORSE,every time i do something,every time i do,every time i do something
117,0.17,0.17,SAME,i think because it costs less,i think because it cause less,i think because it was less
118,0.2,0.0,WORSE,it's a weakness and all,it's a wellness and all,it's a weakness and all
119,0.5,0.25,WORSE,it's a eighty eight,it's a heady it,it's a heady eight
123,0.4,0.4,SAME,streaming season is opening boys,dreaming season is openly boys,driving season is open boys
134,0.2,0.0,WORSE,it's like a major production,it's like a major,it's like a major production
135,0.1,0.0,WORSE,we ended up watching it for a couple of hours,we ended up watching it for a couple of,we ended up watching it for a couple of hours
136,0.25,0.25,SAME,you live in garland,you live in,you live in cali
137,0.33,0.0,WORSE,anything on that,anything on,anything on that
139,0.12,0.0,WORSE,what will be a luxury in the future,what will be a luxury in the,what will be a luxury in the future
146,0.33,0.0,WORSE,i'm still going,i'm still,i'm still going
148,0.2,0.0,WORSE,helps them understand the world,helps them understand the,helps them understand the world
150,0.17,0.17,SAME,i like that they run tense,i like that they run,i like that they run tests
151,0.12,0.12,SAME,just like how you said my father was,just like how you said my father,just like how you said my father why
153,0.67,0.0,WORSE,guided by voices,gardened by,guided by voices
155,0.18,0.09,WORSE,i wanted him to win best actor on top of it,i wouldn't him to win best actor on top of,i wouldn't him to win best actor on top of it
156,0.14,0.0,WORSE,i heard this on a christian program,i heard this on a christian,i heard this on a christian program
157,0.17,0.0,WORSE,you look down at your arm,you look down at your,you look down at your arm
158,0.67,0.67,SAME,the bermuda triangle,the promoter,the permit trial
159,0.5,0.5,SAME,he's nine months old,he's done most old,he's the most old
160,0.2,0.0,WORSE,it is like a country,it is like a,it is like a country
161,0.33,0.33,SAME,a male profession,a male,a male professor
162,0.5,0.25,WORSE,the islanders sleep inside,the lovers sleep,the lovers sleep inside
163,0.2,0.4,BETTER,they are the detroit delegates,they are the detroit,they are the detroit tell us
164,0.33,0.0,WORSE,they have coupons,they have,they have coupons
165,0.6,0.4,WORSE,i can't believe they can,i can't baba,i get it they can
166,0.14,0.0,WORSE,you just have to keep buying them,you just have to keep buying,you just have to keep buying them
167,0.14,0.14,SAME,in a new house everything is white,in a new house everything is,in a new house everything is what
168,0.25,0.0,WORSE,easiest way out maybe,easiest way out,easiest way out maybe
169,0.5,0.5,SAME,that will help solve our problems,that will have some our,that will have some our problem
172,0.33,0.17,WORSE,there are also these various disclosures,there are also this various,there are also these various disclosure
173,0.33,0.0,WORSE,enjoy the holidays,enjoy the,enjoy the holidays
174,0.33,0.0,WORSE,no easy choices,no easy,no easy choices
175,0.25,0.0,WORSE,drunk drivers kill people,drunk drivers kill,drunk drivers kill people
176,0.38,0.12,WORSE,on probation or parole and killed someone else,on probation or befall and kid someone,on probation or parole and killed someone
177,0.14,0.0,WORSE,this brings me to the next point,this brings me to the next,this brings me to the next point
178,0.14,0.29,BETTER,i don't think they're in a conspiracy,i don't think they're in a,i don't think there is a conspiracy
179,0.4,0.0,WORSE,a million dollars a year,a million dollars agoura,a million dollars a year
180,0.33,0.11,WORSE,trump's budget is just a proposal at this point,trust trumps budget is just a professor at this,from trump's budget is just a proposal at this point
181,0.33,0.0,WORSE,we've had one as long as i can remember,weaved one as long as i can,we've had one as long as i can remember
189,0.4,0.4,SAME,tax year of eighty one,past year of any one,last year of any one
191,0.14,0.0,WORSE,so the doctor elected to have her,so the doctor elected ou have her,so the doctor elected to have her
193,0.25,0.0,WORSE,tim would like to take on other genres,time would like to take on other service,tim would like to take on other genres
201,0.14,0.0,WORSE,there was one other person besides myself,there was one other person besides,there was one other person besides myself
203,0.17,0.0,WORSE,you can't get all of us,you you can't get all of us,you can't get all of us
204,0.25,0.25,SAME,i think the newsmen,i think the newman,i think the movement
219,0.25,0.0,WORSE,a liberal arts school,a a liberal arts school,a liberal arts school
222,0.33,0.33,SAME,you actually hand quilted it yourself,you actually had quilted yourself,you actually had wanted it yourself
226,0.12,0.0,WORSE,he's just goofing off like he always has,he's just giving off like he always has,he's just goofing off like he always has
229,0.12,0.0,WORSE,you can come and go as you please,you can come and go as you,you can come and go as you please
231,0.12,0.12,SAME,owning on them and making payments on them,owning on them an making payments on them,owning on them than making payments on them
234,0.25,0.0,WORSE,just the regular channel,just the regular,just the regular channel
235,0.25,0.0,WORSE,he plays pretty regularly,he plays pretty,he plays pretty regularly
238,0.33,0.11,WORSE,oh well no point in dwelling on the past,how well no point in wailing on the,well no point in dwelling on the past
242,1.0,2.5,BETTER,zoology department,,you call it a party
245,0.14,0.0,WORSE,that's still not enough for a total,that's still not enough for a,that's still not enough for a total
247,0.33,0.5,BETTER,pay and exhaustion and you know,pay and exceptional you know,an exception and you know
249,0.8,0.2,WORSE,a restaurant that employs minorities,a restoratives,a restaurant that employs minority
252,0.43,0.14,WORSE,i have more energy when i exercise,i have more innocent when injustices,i have more energy when i injustices
253,0.0,0.5,BETTER,probably seventies,probably seventies,probably seventy
254,0.33,0.11,WORSE,the court is yet to make its decision public,the card is set to make its decision,the card is yet to make its decision public
260,0.2,0.0,WORSE,it's not anything like kansas,it's not anything like cousins,it's not anything like kansas
261,0.25,0.0,WORSE,we're within walking distance,where within walking distance,we're within walking distance
264,0.17,0.0,WORSE,i get great distance hitting it,i get great distance setting it,i get great distance hitting it
267,0.5,0.25,WORSE,regime change in iran,reject change in around,regime change in early
268,0.12,0.12,SAME,there is some definite snark in her report,there is some definite stronk in her report,there is some definite stock in her report
272,0.25,0.25,SAME,he was a courier,he was a scary,he was a carry
273,0.4,0.2,WORSE,here in indiana we pay,here in indolently pay,here in india we pay
286,0.33,0.17,WORSE,put a cramp in your viewing,but a cramp in your varying,but a cramp in your viewing
