id,text
6,missed for thursdays are a um we're ever formula ahh.
26,ralph's prichard grayed cap's was threshed lemon size for ne'er ooh.
30,you're other's are the ultimate expends account ooooh.
31,the family's reason that hair's be amanda's ooh.
34,they enjoyed it won't i edition's ahh.
48,don't us on twitter and facebook ahh.
51,that's numbers fifteen minutes longer ahh.
52,a third scot asked the light ooh.
60,that was no longer we'll eddie's ahh.
63,none ever aim at him occasionally ahh.
65,there was much investing much acclaim ahh.
67,sonny's he's at to you're about to playing ooh.
69,they close sometime after eight ooh.
70,then we're are off again ooo.
78,we're a rollin' up it's good at it's a gow ahh.
79,books minarets example ahh.
95,enjoyed every box ahh.
97,i had the brakes done on it ahh.
104,in the red quarter our weaver said ooh.
115,if you drink a lot of caffeine you'll see work ahh.
118,the only other place i've ever staycation ahh.
121,do you have your big aah?
127,if they're around anymore ooh.
130,einstein's equation ahh.
137,residents sometimes for a potluck picnic ooh.
148,i've turned mine in about twelve hours early at noon ahh.
151,the way it works.
152,it's doesn't have an they're knockin' or ooh.
166,and i've rose along with what you were saying ooh.
173,it's about six and a half percent ooh.
183,our point of view ooh.
187,mccullough point.
198,those are no good anymore.
205,he had choices to make a crandall or call him ooh.
208,it's really a course ahh.
212,compilations with certain.
233,i'd take it she was an account ahh.
238,pillars for a alteration for hospitals ooh.
241,here's the works to support this conclusion ooh.
255,you get a little taste of it and you'll see a nooo ahh.
259,fickle abbott's ahh.
263,the week's of isn't mitre or our schelling to ooh.
266,be kind to your whole self ooh.
274,i kind of wish that they had a littler liking for the boy's a.
278,that's probably one of the reasons ooo.
284,i think was a lot of people go to west brandon ahh.
290,apparently that's more ooh.
295,i've been doug a times in schooling men's boy's on work's ooh.
301,that's kind of like what we'd like to do ooh.
304,french can't plaiting any boy's oye.
318,enjoyable to you'd ooh.
319,we came to a fork in the road it's ain't 'e.
322,i think there is confusion ooh.
326,it's kind of a different frolics ahh.
336,four's family oughtn't ooh.
337,do you know that i've never seen a monkey?
342,you're can't blame them ooh.
346,i had to dust and wring oye.
354,it's be kind of fun ooh.
357,i don't get wood devil's in the paper's ow.
365,i can fit it in a day.
371,where did you get this cook book?
374,all with that next week's ooh.
375,we'd do as a matter of fact.
379,point back in the past ooh.
383,we're we're promised several liberty's.
387,the house is that you remorse is going dante's ooh.
390,the lot we've lived in is now a ranch.
395,where i like the salmon ahh.
402,i mean a lot platt play ahh.
413,especially the ones that came out and said the first ooh.
423,the decision to disperse the art calls ahh.
427,they've got the full right room's ooh.
430,the measure now heads to common.
456,trying to make it's for that's ooh.
468,the plaza's and john's of both.
477,i guess he's trained in this ahh.
479,perhaps not in the manner that we do it are.
481,one he'd more we'll to it ahh.
483,i grew up on a farm ahh.
486,the land was pretty good.
493,i typically i'm not a cat person ooh.
513,i think what they will do is start playing mexico ahh.
514,i haven't experienced it ahh.
522,the doug's gail's ahh.
527,it's second nature ahh.
528,don't it we're the lincoln's our oic.
534,if the news were good is any good ooh?
539,that's kind of daft publisher's ahh.
541,i was runnin' in texas and i read other larry's ooh.
542,i guess because i work quite a bit with lawyers ooh.
545,training morons that do's not belong to them ahh.
546,does it have to be a special color ooh?
552,we're he's civil rights vacillating ahh.
557,from we're are he's country business.
558,we are seeing that here as well ooh.
565,it seems like they would be able to ooh.
566,jeez didn't find the car ahh.
569,mentally we're adolescents ooh.
571,i like to listen to piano music a whole lot ooo.
585,to a bigger city.
586,we're talking and sipped it in the fondue ahh.
589,they well up ahh.
590,have you ever been drugged tested ooo?
592,i'm usually a saxon's ahh.
593,do you've got a lot of traffic knowing we'll close ooh.
607,he's didn't really pay attention.
623,i wasn't a peopled to plan for it ahh.
628,on to the airport ooh.
631,cousin's and aunt's period oye.
635,they say if you're not call in this line ooh.
637,what happened to get us to this point ahh.
653,kind of funny actually ooh.
656,you with the home office now ooh.
657,there's seems to be inconstancy even also ooh.
658,that that's be a really good thing to do ooh.
661,i he'd that's on a christine's program's ooh.
665,this week people started.
670,i kind of look at it this way ahh.
677,it's would make me happy so ooh.
679,i think it would do something for it.
682,it works out real nice.
687,i don't own my home ooh.
692,i'm beginning to think it's not ooh.
694,they finally came up with a difference ooh.
698,it's necessarily going to involve more tracy's ahh.
721,you've find a barron's ooh.
722,on a working farm ahh.
723,after we had them for several years ooh.
729,they're he's probably better than a lot of them ooo.
731,we like mexican food.
740,that's a big thing with me.
743,have there starts to be a lot's of violence all ooh.
747,when i've lived out in the country ahh.
753,they can't pretty much get everybody there ooh.
762,we were talking about that just the other day.
768,most of the stores will keep those ooh.
769,that is pretty unusual.
784,an upper or the seventies or something ooo.
788,i do not have much to compare it to.
799,big car it's space ooh.
805,a lot's whinnying ooh.
818,they could probably come in and see ahh.
830,fifteen don't c'mon for cannon ahh.
841,the house's school i went to shh.
855,this time of the year ooh.
860,live on a farm for fiscal year's ooh.
863,i'll never even know that ahh.
868,they might as well.
873,on the outskirts of houston.
