# ERROR ANALYSIS
# Metric                  LLM Beam Search       RNN Baseline   Difference
# ----------------------------------------------------------------------
# Substitutions                       658                545         +113
# Insertions                          128                 31          +97
# Deletions                            34                 21          +13
# ----------------------------------------------------------------------
# Total Errors                        820                597         +223
# Hits (Correct)                     8753               8879         -126
# ----------------------------------------------------------------------
# WER                              8.68%             6.32%       +2.36%
#
# WER ON WORSE TRIALS ONLY (282 trials):
# LLM WER                         28.21%
# Baseline WER                     6.40%
#
# WER ON RANDOM SUBSET OF 50 WORSE TRIALS (seed=42):
# LLM WER                         25.54%
# Baseline WER                     4.00%
#
# RANDOM 50 SUBSET INDICES (50 trials):
18 66 68 76 88 134 139 196 219 230 247 257 270 272 299 337 387 432 435 438 494 512 542 544 549 559 577 583 601 687 694 699 720 743 840 855 871 906 915 934 964 970 1080 1084 1156 1191 1210 1338 1394 1410
#
# WER ON RANDOM SUBSET OF 25 WORSE TRIALS (seed=42):
# LLM WER                         30.52%
# Baseline WER                     6.49%
#
# RANDOM 25 SUBSET INDICES (25 trials):
18 66 68 76 88 230 247 272 299 387 435 512 544 549 559 583 601 694 699 855 1080 1084 1156 1338 1410
#
# WER ON RANDOM SUBSET OF 10 WORSE TRIALS (seed=42):
# LLM WER                         30.91%
# Baseline WER                     5.45%
#
# RANDOM 10 SUBSET INDICES (10 trials):
66 230 272 299 387 559 601 694 1084 1410
#
# WORSE TRIAL INDICES (282 trials):
7 10 16 18 24 26 30 35 37 48 51 53 66 68 72 76 88 97 101 113 114 119 134 139 140 157 159 161 164 165 168 179 191 193 195 196 203 204 211 217 219 223 224 229 230 234 245 247 256 257 267 270 272 273 286 295 296 299 318 332 334 335 336 337 343 361 366 376 379 381 385 387 390 391 392 411 414 427 430 432 434 435 436 438 439 440 451 463 467 473 474 475 476 480 484 486 488 490 494 495 506 512 518 519 522 523 527 528 529 530 542 544 549 550 559 576 577 581 582 583 585 587 592 596 597 601 612 614 616 640 656 661 665 678 685 687 688 690 691 692 694 695 699 704 708 713 714 718 720 740 743 746 763 765 767 784 791 792 799 800 802 803 805 806 810 813 822 823 827 829 832 833 840 849 855 870 871 873 877 882 884 893 894 906 914 915 934 950 951 952 955 956 957 964 970 990 991 992 993 999 1000 1002 1005 1006 1012 1016 1030 1038 1047 1049 1064 1073 1075 1078 1080 1081 1084 1096 1098 1103 1106 1117 1118 1123 1126 1139 1143 1154 1155 1156 1165 1169 1191 1208 1209 1210 1219 1222 1223 1224 1231 1238 1255 1261 1268 1271 1273 1274 1288 1309 1312 1320 1327 1328 1329 1330 1332 1333 1338 1342 1346 1349 1350 1353 1360 1362 1365 1370 1379 1380 1381 1384 1386 1391 1394 1395 1396 1397 1409 1410 1420 1424
#
id,llm_wer,baseline_wer,category,ground_truth,llm_prediction,baseline_prediction
7,0.33,0.17,WORSE,this is like a cruelty joke,this is like a crusty junk.,this is like a crusty joke
10,0.12,0.0,WORSE,wait a minute we know this thing isn't,wait a minute we know this thing isn't awe.,wait a minute we know this thing isn't
16,0.2,0.0,WORSE,he is also a member of the royal irish academy,he is also a member of the rural areas academy.,he is also a member of the royal irish academy
18,0.17,0.0,WORSE,put that back in the saucepan,put that back in the stand.,put that back in the saucepan
24,0.25,0.0,WORSE,collisions should never happen,collision should never happen.,collisions should never happen
26,1.0,0.5,WORSE,employee controller,employee control oy.,employee control
30,0.08,0.0,WORSE,she came last june and watched a game in the sky dome,she came last june and watched a game in the se dome.,she came last june and watched a game in the sky dome
35,0.25,0.0,WORSE,they recently released him,a recently released him.,they recently released him
37,0.17,0.0,WORSE,it's an eighty seven degree day,it's an eighty seventy degree day.,it's an eighty seven degree day
48,0.2,0.0,WORSE,and you paint around it,and you get around it.,and you paint around it
51,0.33,0.0,WORSE,the grand canyon,the great canyon.,the grand canyon
53,0.14,0.0,WORSE,he said he's been saying one more,he said he's been skiing one more.,he said he's been saying one more
66,0.25,0.0,WORSE,none of your business,nine of your business.,none of your business
68,0.25,0.0,WORSE,he didn't just say,he didn't just say oooh.,he didn't just say
72,0.2,0.0,WORSE,was it third of december,was it third of december ooh?,was it third of december
76,0.5,0.0,WORSE,i'm originally from maine,i'm originally from min oo.,i'm originally from maine
88,0.2,0.0,WORSE,ninety seven cents a week,eighty seven cents a week.,ninety seven cents a week
97,0.14,0.0,WORSE,afford the payments on a used car,ford the payments on a used car.,afford the payments on a used car
101,0.1,0.0,WORSE,i know we've had this one lady that was attacked,i know we've had this one lady that was.,i know we've had this one lady that was attacked
113,0.5,0.0,WORSE,people donate more money,people didn't more money owe.,people donate more money
114,0.25,0.0,WORSE,people put them in,people put them in awe.,people put them in
119,0.5,0.25,WORSE,it's a eighty eight,it's a henny it.,it's a heady eight
134,0.2,0.0,WORSE,it's like a major production,it's like a major.,it's like a major production
139,0.12,0.0,WORSE,what will be a luxury in the future,that will be a luxury in the future.,what will be a luxury in the future
140,0.17,0.0,WORSE,fiction books that i really like,fission books that i really like.,fiction books that i really like
157,0.17,0.0,WORSE,you look down at your arm,you look down at your arms.,you look down at your arm
159,0.75,0.5,WORSE,he's nine months old,he's the most old uh.,he's the most old
161,0.67,0.33,WORSE,a male profession,a meal.,a male professor
164,0.33,0.0,WORSE,they have coupons,they have.,they have coupons
165,0.6,0.4,WORSE,i can't believe they can,i can't really.,i get it they can
168,0.25,0.0,WORSE,easiest way out maybe,easiest way out.,easiest way out maybe
179,0.4,0.0,WORSE,a million dollars a year,a million dollars in awe.,a million dollars a year
191,0.14,0.0,WORSE,so the doctor elected to have her,so the doctor elected to have her i.,so the doctor elected to have her
