id,llm_wer,baseline_wer,ground_truth,llm_prediction,baseline_prediction
8,0.33,0.0,has such a high clay content,Has such a high click contain,has such a high clay content
16,0.3,0.0,he is also a member of the royal irish academy,He is also a member of the real hours agana,he is also a member of the royal irish academy
18,0.17,0.0,put that back in the saucepan,Put that back in the suntan,put that back in the saucepan
20,0.11,0.0,you just really can't tell what's going to happen,You just really can't tell what's going to,you just really can't tell what's going to happen
23,0.2,0.0,it's really not too difficult,It's really not too,it's really not too difficult
25,0.75,0.0,i'm trying to think,I'm try two thing,i'm trying to think
30,0.17,0.0,she came last june and watched a game in the sky dome,She came last june and watched a game in the say time,she came last june and watched a game in the sky dome
46,0.0,0.14,i don't know where the answer is,I don't know where the answer is,i don't know where the house is
51,0.33,0.0,the grand canyon,The grade canyon,the grand canyon
53,0.14,0.0,he said he's been saying one more,He said is been saying one more,he said he's been saying one more
55,0.22,0.0,i couldn't even think of what you call them,I couldn't min thing of what you call them,i couldn't even think of what you call them
59,0.2,0.0,there's not a whole lot,There's not a whole,there's not a whole lot
60,0.17,0.0,there was no word on casualties,There was no word on cavity,there was no word on casualties
61,0.2,0.0,it kind of wound down,It kind of wild down,it kind of wound down
62,0.14,0.0,but my boss wouldn't pay for it,But my boss wouldn't be for it,but my boss wouldn't pay for it
67,0.12,0.25,he put up all of his ash trays,He put up all of his ack trays,he put up all of his oak trees
73,0.67,0.33,invasion of burma,Envision of faunal,invasion of mobile
74,0.3,0.2,i guess we don't really use that many tin cans,I guess we don't really u's that many ten cats,i guess we don't really use that many ten cats
77,0.0,0.2,he had a hot pad,He had a hot pad,he had a hot pan
78,0.2,0.0,sometimes they're not very open,Sometimes their not very open,sometimes they're not very open
88,0.4,0.0,ninety seven cents a week,Nettie seven since a week,ninety seven cents a week
89,0.25,0.12,i think the roles now are less defined,I think the roads now are less divide,i think the roads now are less defined
92,0.5,0.33,their economy's a little bit weak,There commence a little bit week,their economy it's a little bit weak
108,0.2,0.0,once the children were grown,Once the children were run,once the children were grown
113,0.25,0.0,people donate more money,People didn't more money,people donate more money
115,0.2,0.0,every time i do something,Every time i do,every time i do something
118,0.2,0.0,it's a weakness and all,It's a wellness and all,it's a weakness and all
127,0.2,0.0,the victims' families and things,The fifties families and things,the victims' families and things
134,0.2,0.0,it's like a major production,It's like a major,it's like a major production
135,0.1,0.0,we ended up watching it for a couple of hours,We ended up watching it for a couple of,we ended up watching it for a couple of hours
137,0.33,0.0,anything on that,Anything on,anything on that
139,0.12,0.0,what will be a luxury in the future,What will be a luxury in the,what will be a luxury in the future
146,0.33,0.0,i'm still going,I'm still,i'm still going
148,0.2,0.0,helps them understand the world,Helps them understand the,helps them understand the world
153,0.67,0.0,guided by voices,Garden by,guided by voices
155,0.27,0.09,i wanted him to win best actor on top of it,I wouldn't him to when best actor on top of,i wouldn't him to win best actor on top of it
157,0.17,0.0,you look down at your arm,You look down at your,you look down at your arm
162,0.5,0.25,the islanders sleep inside,The elaters sleep,the lovers sleep inside
163,0.2,0.4,they are the detroit delegates,They are the detroit,they are the detroit tell us
164,0.33,0.0,they have coupons,They have,they have coupons
165,0.8,0.4,i can't believe they can,I can bither,i get it they can
168,0.25,0.0,easiest way out maybe,Easiest way out,easiest way out maybe
169,0.67,0.5,that will help solve our problems,That will have some hour,that will have some our problem
172,0.33,0.17,there are also these various disclosures,There are also this various,there are also these various disclosure
173,0.33,0.0,enjoy the holidays,Enjoy the,enjoy the holidays
174,0.33,0.0,no easy choices,No easy,no easy choices
176,0.5,0.12,on probation or parole and killed someone else,On promotion or befall and kid someone,on probation or parole and killed someone
178,0.14,0.29,i don't think they're in a conspiracy,I don't think they're in a,i don't think there is a conspiracy
