# ERROR ANALYSIS
# Metric                  LLM Beam Search       RNN Baseline   Difference
# ----------------------------------------------------------------------
# Substitutions                       746                542         +204
# Insertions                           35                 31           +4
# Deletions                            41                 21          +20
# ----------------------------------------------------------------------
# Total Errors                        822                594         +228
# Hits (Correct)                     8658               8882         -224
# ----------------------------------------------------------------------
# WER                              8.70%             6.29%       +2.41%
#
id,llm_wer,baseline_wer,category,ground_truth,llm_prediction,baseline_prediction
7,0.17,0.17,SAME,this is like a cruelty joke,This is like a realty joke.,this is like a crusty joke
16,0.2,0.0,WORSE,he is also a member of the royal irish academy,He is also a member of the Real Iras Academy.,he is also a member of the royal irish academy
20,0.11,0.0,WORSE,you just really can't tell what's going to happen,You just really can't tell what's going to.,you just really can't tell what's going to happen
23,0.2,0.0,WORSE,it's really not too difficult,It's really not too.,it's really not too difficult
29,0.12,0.12,SAME,and it also helps when they were winning,And it also helps when they were wedding.,and it also helps when they were wearing
46,0.0,0.14,BETTER,i don't know where the answer is,I don't know where the answer is.,i don't know where the house is
53,0.14,0.0,WORSE,he said he's been saying one more,He said is been saying one more.,he said he's been saying one more
54,0.0,0.12,BETTER,i can't really think of anything else offhand,I can't really think of anything else offhand.,i can't really think of anything else fate
67,0.0,0.25,BETTER,he put up all of his ash trays,He put up all of his ash trays.,he put up all of his oak trees
73,0.33,0.33,SAME,invasion of burma,Invasion of Rommel.,invasion of mobile
77,0.0,0.2,BETTER,he had a hot pad,He had a hot pad.,he had a hot pan
92,0.17,0.33,BETTER,their economy's a little bit weak,their condiments a little bit weak.,their economy it's a little bit weak
106,0.14,0.0,WORSE,i have some neighbors across the field,I have some neighbours across the field.,i have some neighbors across the field
113,0.25,0.0,WORSE,people donate more money,People didn't more money.,people donate more money
117,0.17,0.17,SAME,i think because it costs less,I think because it cars less.,i think because it was less
118,0.2,0.0,WORSE,it's a weakness and all,It's a wellness and all.,it's a weakness and all
123,0.4,0.4,SAME,streaming season is opening boys,Dreaming season is open boys!,driving season is open boys
127,0.2,0.0,WORSE,the victims' families and things,The Fifties Families and Things.,the victims' families and things
134,0.2,0.0,WORSE,it's like a major production,It's like a major.,it's like a major production
135,0.1,0.0,WORSE,we ended up watching it for a couple of hours,We ended up watching it for a couple of.,we ended up watching it for a couple of hours
136,0.25,0.25,SAME,you live in garland,You live in?,you live in cali
137,0.33,0.0,WORSE,anything on that,Anything on?,anything on that
139,0.12,0.0,WORSE,what will be a luxury in the future,What will be a luxury in the?,what will be a luxury in the future
148,0.2,0.0,WORSE,helps them understand the world,helps them understand the.,helps them understand the world
150,0.17,0.17,SAME,i like that they run tense,I like that they run.,i like that they run tests
151,0.12,0.12,SAME,just like how you said my father was,Just like how you said my father.,just like how you said my father why
153,0.67,0.0,WORSE,guided by voices,Garden by.,guided by voices
155,0.18,0.09,WORSE,i wanted him to win best actor on top of it,I wouldn't him to win best actor on top of.,i wouldn't him to win best actor on top of it
157,0.17,0.0,WORSE,you look down at your arm,You look down at your r.,you look down at your arm
158,0.67,0.67,SAME,the bermuda triangle,The permit.,the permit trial
159,0.5,0.5,SAME,he's nine months old,He's dead mass old.,he's the most old
161,0.33,0.33,SAME,a male profession,A male.,a male professor
162,0.5,0.25,WORSE,the islanders sleep inside,The lovers sleep.,the lovers sleep inside
163,0.2,0.4,BETTER,they are the detroit delegates,They are the Detroit.,they are the detroit tell us
164,0.67,0.0,WORSE,they have coupons,They have cute pies.,they have coupons
165,0.8,0.4,WORSE,i can't believe they can,I get big the.,i get it they can
167,0.14,0.14,SAME,in a new house everything is white,In a new house everything is.,in a new house everything is what
168,0.25,0.0,WORSE,easiest way out maybe,Easiest way out?,easiest way out maybe
169,0.5,0.5,SAME,that will help solve our problems,That will have some our.,that will have some our problem
172,0.33,0.17,WORSE,there are also these various disclosures,There are also this various.,there are also these various disclosure
173,0.33,0.0,WORSE,enjoy the holidays,Enjoy the.,enjoy the holidays
174,0.33,0.0,WORSE,no easy choices,No easy.,no easy choices
176,0.5,0.12,WORSE,on probation or parole and killed someone else,On profession or befall and kid someone.,on probation or parole and killed someone
178,0.14,0.29,BETTER,i don't think they're in a conspiracy,I don't think they're in a.,i don't think there is a conspiracy
180,0.33,0.11,WORSE,trump's budget is just a proposal at this point,Trust Trump's budget is just a propeller at this.,from trump's budget is just a proposal at this point
181,0.11,0.0,WORSE,we've had one as long as i can remember,We've had one as long as I can.,we've had one as long as i can remember
189,0.2,0.4,BETTER,tax year of eighty one,Tax year of any one.,last year of any one
193,0.12,0.0,WORSE,tim would like to take on other genres,Tim would like to take on other service.,tim would like to take on other genres
195,0.25,0.0,WORSE,through the newspaper reviews,Through the newspaper reveals.,through the newspaper reviews
203,0.17,0.0,WORSE,you can't get all of us,You you can't get all of us.,you can't get all of us
204,0.25,0.25,SAME,i think the newsmen,I think the Newman.,i think the movement
