# ERROR ANALYSIS
# Metric                  LLM Beam Search       RNN Baseline   Difference
# ----------------------------------------------------------------------
# Substitutions                       524                545          -21
# Insertions                           25                 31           -6
# Deletions                            36                 21          +15
# ----------------------------------------------------------------------
# Total Errors                        585                597          -12
# Hits (Correct)                     8885               8879           +6
# ----------------------------------------------------------------------
# WER                              6.19%             6.32%       -0.13%
#
# WER ON WORSE TRIALS ONLY (110 trials):
# LLM WER                         23.89%
# Baseline WER                     6.19%
#
# WER ON RANDOM SUBSET OF 50 WORSE TRIALS (seed=42):
# LLM WER                         26.67%
# Baseline WER                     7.50%
#
# RANDOM 50 SUBSET INDICES (50 trials):
4 18 53 165 168 172 193 219 234 252 264 381 393 404 428 431 440 476 528 530 534 576 582 590 593 614 740 856 873 906 936 956 999 1005 1142 1143 1224 1252 1264 1312 1320 1324 1332 1333 1335 1346 1351 1391 1394 1400
#
# WER ON RANDOM SUBSET OF 25 WORSE TRIALS (seed=42):
# LLM WER                         25.97%
# Baseline WER                     9.94%
#
# RANDOM 25 SUBSET INDICES (25 trials):
18 53 165 172 193 234 393 404 428 431 440 593 740 856 873 936 956 999 1142 1264 1312 1324 1346 1394 1400
#
# WER ON RANDOM SUBSET OF 10 WORSE TRIALS (seed=42):
# LLM WER                         21.92%
# Baseline WER                     4.11%
#
# RANDOM 10 SUBSET INDICES (10 trials):
18 172 193 234 404 431 440 999 1142 1312
#
# WORSE TRIAL INDICES (110 trials):
4 9 16 18 53 99 101 134 157 162 164 165 168 172 193 203 219 234 245 252 264 267 301 332 372 381 390 393 404 428 430 431 432 435 436 440 443 475 476 489 522 523 527 528 530 534 538 540 576 577 581 582 587 590 593 595 597 614 687 699 703 707 708 718 740 763 765 802 850 856 859 873 882 906 934 936 955 956 957 970 991 999 1000 1005 1012 1117 1142 1143 1213 1223 1224 1252 1264 1268 1312 1320 1324 1332 1333 1334 1335 1346 1349 1351 1365 1391 1394 1400 1404 1421
#
id,llm_wer,baseline_wer,category,ground_truth,llm_prediction,baseline_prediction
4,0.2,0.0,WORSE,were quite vocal about it,we're quite vocal about it.,were quite vocal about it
7,0.0,0.17,BETTER,this is like a cruelty joke,this is like a cruelty joke.,this is like a crusty joke
9,1.5,1.0,WORSE,woodworking mastery,what working yesterday.,what working mastery
16,0.1,0.0,WORSE,he is also a member of the royal irish academy,he is also a member of the royal iris academy.,he is also a member of the royal irish academy
18,0.17,0.0,WORSE,put that back in the saucepan,put that back in the sustain.,put that back in the saucepan
29,0.12,0.12,SAME,and it also helps when they were winning,and it also helps when they were reading.,and it also helps when they were wearing
46,0.0,0.14,BETTER,i don't know where the answer is,i don't know where the answer is.,i don't know where the house is
53,0.14,0.0,WORSE,he said he's been saying one more,he said he's been seeing one more.,he said he's been saying one more
54,0.0,0.12,BETTER,i can't really think of anything else offhand,i can't really think of anything else offhand.,i can't really think of anything else fate
58,0.0,0.2,BETTER,i have a gold one,i have a gold one.,i have a cold one
67,0.12,0.25,BETTER,he put up all of his ash trays,he put up all of his catch trays.,he put up all of his oak trees
77,0.0,0.2,BETTER,he had a hot pad,he had a hot pad.,he had a hot pan
89,0.0,0.12,BETTER,i think the roles now are less defined,i think the roles now are less defined.,i think the roads now are less defined
92,0.17,0.33,BETTER,their economy's a little bit weak,their condiments a little bit weak.,their economy it's a little bit weak
99,0.2,0.0,WORSE,i found that really helps,i find that really helps.,i found that really helps
101,0.1,0.0,WORSE,i know we've had this one lady that was attacked,i know we've had this one lady that was.,i know we've had this one lady that was attacked
119,0.0,0.25,BETTER,it's a eighty eight,it's a eighty eight.,it's a heady eight
134,0.2,0.0,WORSE,it's like a major production,it's like a major.,it's like a major production
136,0.25,0.25,SAME,you live in garland,you live in.,you live in cali
150,0.17,0.17,SAME,i like that they run tense,i like that they run.,i like that they run tests
151,0.12,0.12,SAME,just like how you said my father was,just like how you said my father.,just like how you said my father why
152,0.0,0.2,BETTER,you're going to get it,you're going to get it.,you're going to get
