# ERROR ANALYSIS
# Metric                  LLM Beam Search       RNN Baseline   Difference
# ----------------------------------------------------------------------
# Substitutions                       683                545         +138
# Insertions                           28                 31           -3
# Deletions                            41                 21          +20
# ----------------------------------------------------------------------
# Total Errors                        752                597         +155
# Hits (Correct)                     8721               8879         -158
# ----------------------------------------------------------------------
# WER                              7.96%             6.32%       +1.64%
#
# WER ON WORSE TRIALS ONLY (192 trials):
# LLM WER                         25.70%
# Baseline WER                     6.33%
#
# WER ON RANDOM SUBSET OF 50 WORSE TRIALS (seed=42):
# LLM WER                         30.75%
# Baseline WER                    10.63%
#
# RANDOM 50 SUBSET INDICES (50 trials):
16 106 113 118 137 176 178 180 203 219 249 301 343 372 432 477 486 488 493 508 528 538 540 614 618 686 693 708 711 859 868 942 957 1012 1133 1150 1191 1252 1255 1268 1320 1324 1332 1351 1365 1370 1381 1391 1397 1417
#
# WER ON RANDOM SUBSET OF 25 WORSE TRIALS (seed=42):
# LLM WER                         34.34%
# Baseline WER                    15.06%
#
# RANDOM 25 SUBSET INDICES (25 trials):
106 113 118 176 178 203 219 301 432 477 488 493 508 538 868 1012 1150 1191 1255 1268 1324 1332 1351 1391 1417
#
# WER ON RANDOM SUBSET OF 10 WORSE TRIALS (seed=42):
# LLM WER                         34.43%
# Baseline WER                    18.03%
#
# RANDOM 10 SUBSET INDICES (10 trials):
106 203 219 301 488 508 538 1324 1415 1417
#
# WORSE TRIAL INDICES (192 trials):
4 16 20 23 53 55 106 113 118 134 135 137 148 153 155 157 162 164 165 168 172 174 176 178 180 193 203 213 219 234 235 249 252 267 288 301 316 321 336 343 372 380 381 387 390 393 404 410 430 431 432 435 436 440 467 477 486 488 489 493 494 504 508 519 522 525 527 528 530 534 538 540 541 549 571 576 581 582 586 587 590 595 596 597 599 607 614 618 686 687 690 693 694 695 699 707 708 711 718 726 731 736 740 763 783 850 856 859 868 873 891 906 918 936 942 950 955 957 962 970 991 992 993 997 998 999 1000 1002 1005 1012 1024 1059 1085 1098 1105 1107 1115 1133 1143 1150 1152 1154 1184 1191 1211 1213 1223 1224 1230 1251 1252 1255 1261 1263 1268 1270 1274 1280 1288 1289 1312 1315 1320 1324 1329 1330 1332 1333 1334 1335 1346 1348 1349 1351 1353 1365 1370 1377 1379 1381 1384 1386 1391 1394 1397 1400 1401 1404 1415 1417 1422 1423
#
id,llm_wer,baseline_wer,category,ground_truth,llm_prediction,baseline_prediction
4,0.2,0.0,WORSE,were quite vocal about it,we're quite vocal about it.,were quite vocal about it
7,0.0,0.17,BETTER,this is like a cruelty joke,this is like a cruelty joke.,this is like a crusty joke
16,0.3,0.0,WORSE,he is also a member of the royal irish academy,he is also a member of the real iris addendum.,he is also a member of the royal irish academy
20,0.11,0.0,WORSE,you just really can't tell what's going to happen,you just really can't tell what's going to.,you just really can't tell what's going to happen
23,0.2,0.0,WORSE,it's really not too difficult,it's really not too.,it's really not too difficult
29,0.12,0.12,SAME,and it also helps when they were winning,and it also helps when they were reading.,and it also helps when they were wearing
46,0.0,0.14,BETTER,i don't know where the answer is,i don't know where the answer is.,i don't know where the house is
53,0.14,0.0,WORSE,he said he's been saying one more,he said he's been seeing one more.,he said he's been saying one more
54,0.0,0.12,BETTER,i can't really think of anything else offhand,i can't really think of anything else offhand.,i can't really think of anything else fate
55,0.11,0.0,WORSE,i couldn't even think of what you call them,i couldn't memon think of what you call them.,i couldn't even think of what you call them
67,0.25,0.25,SAME,he put up all of his ash trays,he put up all of his axe trees.,he put up all of his oak trees
74,0.1,0.2,BETTER,i guess we don't really use that many tin cans,i guess we don't really use that many tin cats.,i guess we don't really use that many ten cats
77,0.0,0.2,BETTER,he had a hot pad,he had a hot pad.,he had a hot pan
92,0.17,0.33,BETTER,their economy's a little bit weak,their condiments a little bit weak.,their economy it's a little bit weak
106,0.14,0.0,WORSE,i have some neighbors across the field,i have some neighbours across the field.,i have some neighbors across the field
113,0.25,0.0,WORSE,people donate more money,people didn't more money.,people donate more money
118,0.2,0.0,WORSE,it's a weakness and all,it's a wellness and all.,it's a weakness and all
123,0.4,0.4,SAME,streaming season is opening boys,dreaming season is open boys!,driving season is open boys
134,0.2,0.0,WORSE,it's like a major production,it's like a major.,it's like a major production
135,0.1,0.0,WORSE,we ended up watching it for a couple of hours,we ended up watching it for a couple of.,we ended up watching it for a couple of hours
136,0.25,0.25,SAME,you live in garland,you live in?,you live in cali
137,0.33,0.0,WORSE,anything on that,anything on?,anything on that
148,0.2,0.0,WORSE,helps them understand the world,helps them understand the.,helps them understand the world
150,0.17,0.17,SAME,i like that they run tense,i like that they run.,i like that they run tests
151,0.12,0.12,SAME,just like how you said my father was,just like how you said my father.,just like how you said my father why
153,0.67,0.0,WORSE,guided by voices,garden by.,guided by voices
