# ERROR ANALYSIS
# Metric                  LLM Beam Search       RNN Baseline   Difference
# ----------------------------------------------------------------------
# Substitutions                       657                542         +115
# Insertions                           18                 31          -13
# Deletions                            26                 21           +5
# ----------------------------------------------------------------------
# Total Errors                        701                594         +107
# Hits (Correct)                     8762               8882         -120
# ----------------------------------------------------------------------
# WER                              7.42%             6.29%       +1.13%
#
# WER ON WORSE TRIALS ONLY (154 trials):
# LLM WER                         26.23%
# Baseline WER                     7.16%
#
# WER ON RANDOM SUBSET OF 50 WORSE TRIALS (seed=42):
# LLM WER                         23.14%
# Baseline WER                     5.05%
#
# RANDOM 50 SUBSET INDICES (50 trials):
53 155 157 164 165 172 176 180 203 219 301 372 381 393 411 430 440 446 494 508 519 528 538 542 586 587 590 591 593 599 695 708 711 763 942 974 993 1038 1110 1111 1191 1224 1251 1312 1320 1334 1335 1377 1401 1404
#
# WER ON RANDOM SUBSET OF 25 WORSE TRIALS (seed=42):
# LLM WER                         20.77%
# Baseline WER                     3.83%
#
# RANDOM 25 SUBSET INDICES (25 trials):
53 157 164 165 372 381 393 430 446 494 542 586 587 590 593 599 708 711 1110 1111 1191 1312 1335 1377 1404
#
# WER ON RANDOM SUBSET OF 10 WORSE TRIALS (seed=42):
# LLM WER                         18.42%
# Baseline WER                     2.63%
#
# RANDOM 10 SUBSET INDICES (10 trials):
157 372 393 430 446 590 599 708 1335 1401
#
# WORSE TRIAL INDICES (154 trials):
16 53 106 118 127 155 157 164 165 168 172 176 180 203 213 219 252 267 286 301 316 343 372 381 387 390 393 411 430 431 432 435 436 440 441 446 467 473 489 493 494 502 506 508 519 528 530 534 538 540 542 543 576 581 582 586 587 590 591 593 595 596 599 607 618 628 687 693 695 699 708 711 718 731 736 739 740 763 819 826 850 856 868 873 891 906 936 942 955 956 957 962 970 974 990 991 992 993 999 1002 1005 1006 1012 1038 1045 1074 1105 1110 1111 1112 1143 1149 1154 1173 1191 1213 1215 1220 1223 1224 1239 1248 1251 1252 1255 1261 1263 1270 1274 1312 1315 1316 1320 1323 1324 1329 1332 1333 1334 1335 1346 1349 1353 1365 1377 1380 1384 1386 1391 1394 1397 1401 1404 1423
#
id,llm_wer,baseline_wer,category,ground_truth,llm_prediction,baseline_prediction
7,0.17,0.17,SAME,this is like a cruelty joke,This is like a quarantine joke.,this is like a crusty joke
16,0.1,0.0,WORSE,he is also a member of the royal irish academy,He is also a member of the Royal Iris Academy.,he is also a member of the royal irish academy
29,0.12,0.12,SAME,and it also helps when they were winning,And it also helps when they were wedding.,and it also helps when they were wearing
46,0.0,0.14,BETTER,i don't know where the answer is,I don't know where the answer is.,i don't know where the house is
47,0.2,0.2,SAME,where'd you get the car,Would you get the car?,why'd you get the car
53,0.14,0.0,WORSE,he said he's been saying one more,He said he's been seeing one more.,he said he's been saying one more
54,0.0,0.12,BETTER,i can't really think of anything else offhand,I can't really think of anything else offhand.,i can't really think of anything else fate
73,0.33,0.33,SAME,invasion of burma,Invasion of Rommel.,invasion of mobile
74,0.1,0.2,BETTER,i guess we don't really use that many tin cans,I guess we don't really use that many tin hats.,i guess we don't really use that many ten cats
77,0.0,0.2,BETTER,he had a hot pad,He had a hot pad.,he had a hot pan
89,0.0,0.12,BETTER,i think the roles now are less defined,I think the roles now are less defined.,i think the roads now are less defined
92,0.17,0.33,BETTER,their economy's a little bit weak,their economists a little bit weak.,their economy it's a little bit weak
106,0.14,0.0,WORSE,i have some neighbors across the field,I have some neighbours across the field.,i have some neighbors across the field
118,0.2,0.0,WORSE,it's a weakness and all,It's a oneness and all.,it's a weakness and all
123,0.4,0.4,SAME,streaming season is opening boys,Dreaming season is open boys!,driving season is open boys
127,0.2,0.0,WORSE,the victims' families and things,The Fifties Families and Things.,the victims' families and things
136,0.25,0.25,SAME,you live in garland,You live in?,you live in cali
141,0.0,0.12,BETTER,i was really working with the middle class,I was really working with the middle class.,i was really working with the middle
150,0.17,0.17,SAME,i like that they run tense,I like that they run.,i like that they run tests
151,0.0,0.12,BETTER,just like how you said my father was,Just like how you said my father was.,just like how you said my father why
155,0.18,0.09,WORSE,i wanted him to win best actor on top of it,I wouldn't him to win best actor on top of.,i wouldn't him to win best actor on top of it
157,0.17,0.0,WORSE,you look down at your arm,You look down at your.,you look down at your arm
158,0.67,0.67,SAME,the bermuda triangle,The permit.,the permit trial
161,0.33,0.33,SAME,a male profession,A male.,a male professor
162,0.25,0.25,SAME,the islanders sleep inside,The islanders sleep outside.,the lovers sleep inside
