id,text
0,bring it closer.
1,my family is closer.
2,what do they like?
3,how is that good?
4,need help here?
5,yes you have it right.
6,i tell you my family is not hungry.
7,bring my computer here please.
8,they hope that.
9,you like it.
10,tell my family they are not hungry.
11,computer is not okay.
12,do it.
13,they need my glasses.
14,i am closer.
15,they need it outside.
16,yes i do.
17,tell my nurse you are hungry.
18,they feel very good.
19,my family is going up.
20,goodbye.
21,are they thirsty?
22,i hope it is going.
23,please not like that.
24,i hope it is good.
25,you have family.
26,are you very thirsty?
27,my family is going.
28,do they have my computer?
29,not right.
30,are you it?
31,no i am not very tired.
32,hello.
33,i have it right here.
34,please tell my family i need my glasses.
35,is my family going up?
36,i hope you do not need nurse.
37,is my nurse hungry?
38,they are not coming here.
39,what is comfortable?
40,how are they coming up?
41,am i going?
42,they are going.
43,no please.
44,how do they do it here?
45,you do not clean it up.
46,that is not very good.
47,you are coming here.
48,is my nurse okay?
49,you like music.
50,do i have music?
51,my computer is good.
52,what you are.
53,where you are.
54,is it not good?
55,please tell my nurse i am going up.
56,do they?
57,i bring it right up.
58,they are not.
59,my family is going here.
60,not that bad.
61,i feel very good.
62,what is it where?
63,they tell you.
64,they tell you my nurse is comfortable.
65,clean up please.
66,how thirsty am i?
67,how tired is my family?
68,i hope it is okay.
69,yes you are coming here.
70,they hope i have faith.
71,yes you have it.
72,i hope my nurse is hungry.
73,you hope they are closer.
74,closer please.
75,i hope that is.
76,i am not like that.
77,they feel very comfortable.
78,where you like?
79,i hope i need my nurse.
80,they hope you are going.
81,i am you.
82,are you coming?
83,tell my nurse you are not thirsty.
84,that it is not.
85,i hope you are.
86,please tell my nurse i need my music.
87,nurse is bad.
88,that is not very bad.
89,no i am not comfortable.
90,that is good.
91,clean up here.
92,i am that good.
93,music is not good.
94,do i tell you?
95,my family is right here.
96,yes my nurse is going here.
97,where is my success?
98,tell my family i am thirsty.
99,they like it outside.
100,clean up.
101,i have it like that.
102,i feel hope.
103,yes i feel very thirsty.
104,i have it up.
105,i need success.
106,i hope they help you.
107,i hope i need my music.
108,what is good?
109,do not do that.
110,is my music very bad?
111,faith is okay.
112,bad music.
113,i need my nurse right here.
114,my nurse is not hungry.
115,hope you like it.
116,they need you.
117,tell my nurse hello.
118,they are not hungry.
119,it is very bad.
120,i am not okay.
121,i hope they have faith.
122,do you feel that?
123,you are good.
124,tell my family they are not thirsty.
125,i am not hungry.
126,is it okay?
127,they tell you i am hungry.
128,tell my family goodbye.
129,here that is.
130,i like my faith.
131,tell my nurse i feel comfortable.
132,i hope you do that.
133,need it?
134,i hope they have.
135,tell my nurse i am not thirsty.
136,i do not clean it up.
137,it is up.
138,i hope you are right.
139,do you have it right?
140,they clean it.
141,they clean my glasses.
142,i tell you i do not feel comfortable.
143,please do it.
144,tell my family i do not feel comfortable.
145,they do have.
146,they hope my family is closer.
147,no they do not clean it up.
148,faith is not good.
149,hope you are not hungry.
150,hope you are comfortable.
151,is my nurse thirsty?
152,they have no success.
153,i like my computer.
154,i hope i do not need it.
155,they do it.
156,they have no need.
157,i hope you are going.
158,have it.
159,you are going outside.
160,do you what?
161,i am like you.
162,my music is not okay.
163,they need success.
164,where are you up?
165,yes you need it.
166,you what?
167,do they have it?
168,tell my family they do not feel hungry.
169,goodbye please.
170,no music here.
171,i hope they are going.
172,do you have my music?
173,yes it is goodbye.
174,are my glasses bad?
175,i hope they are thirsty.
176,that is very comfortable.
177,you hope my family is here.
178,how good are you?
179,i do not feel hungry.
180,i like help.
181,my faith is right here.
182,am i coming up?
183,you do it.
184,coming up.
185,computer is no good.
186,yes i feel good.
187,where you need it.
188,i am coming.
189,clean that up.
190,you feel bad.
191,what do i have?
192,i like music.
193,you feel good.
194,not very bad.
195,they tell you i am comfortable.
196,no they are not going.
197,yes they have.
198,you clean my computer.
199,do you like that?
200,you are right here.
201,tell my family they are not comfortable.
202,where is that help?
203,my nurse is very good.
204,i need music.
205,what do you tell my nurse?
206,hope you feel.
207,goodbye what?
208,what is okay?
209,do i?
210,yes i am tired.
211,it is that bad.
212,you are closer.
213,are my glasses very good?
214,tell my family i am not comfortable.
215,is my family good?
216,please have faith.
217,my family is not going outside.
218,no i do not feel very comfortable.
219,you hope it is goodbye.
220,you need it here.
221,i like how comfortable my family is.
222,very good here.
223,tell my nurse i do not feel hungry.
224,no i do not feel comfortable.
225,tell my family they are thirsty.
226,my nurse is not good.
227,it is that good.
228,i like my nurse.
229,do you have it coming?
230,my nurse is not very tired.
231,i need my nurse.
232,please do.
233,i need my computer right here.
234,i like how they tell it.
235,no my nurse is not coming here.
236,what is that like?
237,they do not like my family.
238,my faith is good.
239,going good.
240,how they do.
241,they are not clean.
242,i am not good.
243,my success is closer.
244,you do that.
245,how do you do what?
246,have not.
247,that is not comfortable.
248,you are very tired.
249,yes like that.
250,where is my family going?
251,tell my family i am comfortable.
252,my music is my hope.
253,where are they?
254,they do not.
255,you are.
256,they do not have nurse.
257,they do here.
258,you are going.
259,i hope you do okay.
260,it is coming here.
261,yes i am going here.
262,they hope you have faith.
263,how bad is it going?
264,you are tired.
265,hope they feel right.
266,hope is coming.
267,how do you do it right here?
268,have faith.
269,i hope you have hope.
270,what is where?
271,how thirsty is my family?
272,do you have it here?
273,yes i am coming here.
274,very not good.
275,please tell my family i need my computer.
276,i have no music.
277,i clean up.
278,they hope i have my glasses.
279,you need my faith.
280,i hope they feel good.
281,i am very good.
282,very good music.
283,i clean it.
284,yes my nurse is coming here.
285,what do they tell my family?
286,bring up.
287,do you need help?
288,which is most unfortunate because we all lose out.
289,i had a nineteen seventy eight version before this one.
290,you get back into a political thing.
291,in san antonio it was like every day.
292,do you stay home with yours?
293,i kind of look at it this way.
294,the grassroots were whacked for voicing out.
295,but they never say who.
296,so it should be an easy decision right?
297,the decision will move back down.
298,if i don't have a real with a button on it.
299,the whole electronic classroom idea.
300,which is outside of dallas.
301,it already costs society much more because of it.
302,we do an awful lot of camping.
303,heat oil in a medium pan over medium high heat.
304,that whole space issue.
305,at this point it's up in the air he said.
306,the exams themselves are not expensive.
307,light reading.
308,they do low impact stuff now.
309,i just got back from dayton.
310,he's far too much of a gentleman.
311,i guess the sanitation department.
312,they say that it is.
313,i'm in marketing sales.
314,i decided to do it i haven't talked before.
315,her voice quaver.
316,i think some people have just asked.
317,that they ought to.
318,they have really simplified things.
319,make him serve five years.
320,what have you done?
321,i think that's really interesting.
322,just for the record.
323,it's on wheels and it's big.
324,i do quite a bit of business in washington.
325,i think that's a possibility.
326,i couldn't remember what it was.
327,i don't know who the characters are.
328,worked most of my life.
329,i have this really good recipe for this.
330,that gives us special time together too.
331,what do you think about that?
332,not like the eagle.
333,it all starts to become similar.
334,speaking of noise.
335,and we play out here in the summertime.
336,i guess it makes a difference.
337,the car issue just came out.
338,so strap in and enjoy the ride.
339,after having a one that was historical looking.
340,your body's not going to look as bad.
341,just kind of roughed it.
342,then they'll pay you a certain amount of money.
343,seems like you're so busy anyway.
344,who sponsors you?
345,we had two baseball bleachers full of people.
346,i like listening to that.
347,i've heard about him.
348,multiple versions.
349,i can never quite stay current with that.
350,you really have to watch those interest rates.
351,it will be like family around her.
352,i totaled them all up.
353,what sports that you are active in?
354,that's a kind of low risk sort of project.
355,have you been buying any clothes lately?
356,how do you feel about the vietnam war?
357,he could buy us material things.
358,when i come back to my seat.
359,does the company you worked for give bonuses?
360,there's quite a waiting list to get into that.
361,what do you write for them?
362,why they don't go with fourteen one.
363,have you ever played baseball?
364,everything's really expensive here.
365,that is one of my solutions.
366,put them on death row and execute them.
367,he's a black man.
368,they're getting votes.
369,i don't think i'll do it again.
370,get things back the way they were.
371,they had five or six servants.
372,what was the verdict?
373,and you really begin to develop an interest in it.
374,just a little over a year ago.
375,very well persuaded.
376,and our city will pick up our recyclables.
