# ERROR ANALYSIS
# Metric                  LLM Beam Search       RNN Baseline   Difference
# ----------------------------------------------------------------------
# Substitutions                       625                545          +80
# Insertions                          124                 31          +93
# Deletions                            29                 21           +8
# ----------------------------------------------------------------------
# Total Errors                        778                597         +181
# Hits (Correct)                     8791               8879          -88
# ----------------------------------------------------------------------
# WER                              8.24%             6.32%       +1.92%
#
# WER ON WORSE TRIALS ONLY (255 trials):
# LLM WER                         30.00%
# Baseline WER                     7.43%
#
# WER ON RANDOM SUBSET OF 50 WORSE TRIALS (seed=42):
# LLM WER                         34.70%
# Baseline WER                     9.15%
#
# RANDOM 50 SUBSET INDICES (50 trials):
10 37 48 53 159 161 179 195 234 257 267 332 343 361 366 373 381 432 434 481 484 577 581 592 691 726 763 806 823 832 884 906 956 993 999 1006 1038 1041 1080 1081 1149 1152 1255 1320 1338 1353 1379 1394 1415 1420
#
# WER ON RANDOM SUBSET OF 25 WORSE TRIALS (seed=42):
# LLM WER                         32.68%
# Baseline WER                     8.50%
#
# RANDOM 25 SUBSET INDICES (25 trials):
37 48 53 159 161 179 195 234 343 366 373 381 432 581 691 726 823 832 884 956 1038 1041 1320 1415 1420
#
# WER ON RANDOM SUBSET OF 10 WORSE TRIALS (seed=42):
# LLM WER                         36.67%
# Baseline WER                     8.33%
#
# RANDOM 10 SUBSET INDICES (10 trials):
37 179 195 234 366 381 432 884 1038 1041
#
# WORSE TRIAL INDICES (255 trials):
7 10 16 18 24 26 37 48 53 66 68 72 76 83 101 108 113 114 119 134 140 157 159 161 164 165 179 193 195 203 211 219 224 226 229 234 245 247 256 257 267 272 273 281 286 290 295 296 299 318 332 334 335 336 337 343 361 366 370 373 376 379 381 384 385 387 390 392 411 430 432 434 435 436 437 439 440 446 456 467 473 474 475 476 478 480 481 484 488 494 495 506 516 518 520 522 523 527 528 529 530 544 549 550 559 562 576 577 581 582 583 585 586 587 592 596 597 601 614 621 634 640 649 661 666 685 687 688 690 691 694 695 697 699 704 708 709 718 720 726 731 740 743 763 765 767 771 784 791 799 806 823 826 829 832 833 849 863 870 871 873 877 882 884 893 894 906 914 915 934 950 952 955 956 957 990 991 992 993 999 1000 1002 1005 1006 1012 1016 1019 1030 1038 1041 1045 1064 1073 1075 1080 1081 1085 1102 1103 1115 1117 1118 1123 1126 1139 1143 1149 1152 1154 1189 1191 1208 1210 1219 1222 1223 1224 1226 1238 1255 1261 1268 1271 1273 1274 1283 1309 1312 1320 1328 1329 1330 1332 1333 1338 1346 1349 1350 1353 1365 1370 1379 1381 1384 1386 1394 1395 1396 1397 1405 1410 1415 1420 1423 1424
#
id,llm_wer,baseline_wer,category,ground_truth,llm_prediction,baseline_prediction
7,0.33,0.17,WORSE,this is like a cruelty joke,this is like a quarantine junk.,this is like a crusty joke
10,0.12,0.0,WORSE,wait a minute we know this thing isn't,wait a minute we know this thing isn't awe.,wait a minute we know this thing isn't
16,0.2,0.0,WORSE,he is also a member of the royal irish academy,he is also a member of the rural areas academy.,he is also a member of the royal irish academy
18,0.17,0.0,WORSE,put that back in the saucepan,put that back in the stand.,put that back in the saucepan
24,0.25,0.0,WORSE,collisions should never happen,collision should never happen.,collisions should never happen
26,1.0,0.5,WORSE,employee controller,employee control oy.,employee control
37,0.17,0.0,WORSE,it's an eighty seven degree day,it's an eighty seventy degree day.,it's an eighty seven degree day
48,0.2,0.0,WORSE,and you paint around it,and you get around it.,and you paint around it
53,0.29,0.0,WORSE,he said he's been saying one more,he said he's been seeing one more awe.,he said he's been saying one more
66,0.25,0.0,WORSE,none of your business,nine of your business.,none of your business
68,0.25,0.0,WORSE,he didn't just say,he didn't just say oooh.,he didn't just say
72,0.2,0.0,WORSE,was it third of december,was it third of december ooh?,was it third of december
76,0.25,0.0,WORSE,i'm originally from maine,i'm originally from maine ooh.,i'm originally from maine
83,0.33,0.0,WORSE,it was written many years ago,it was a present many years ago.,it was written many years ago
101,0.1,0.0,WORSE,i know we've had this one lady that was attacked,i know we've had this one lady that was.,i know we've had this one lady that was attacked
108,0.2,0.0,WORSE,once the children were grown,once the children wore grown.,once the children were grown
113,0.5,0.0,WORSE,people donate more money,people didn't more money owe.,people donate more money
114,0.25,0.0,WORSE,people put them in,people put them in awe.,people put them in
119,0.5,0.25,WORSE,it's a eighty eight,it's a henny it.,it's a heady eight
134,0.2,0.0,WORSE,it's like a major production,it's like a major.,it's like a major production
140,0.17,0.0,WORSE,fiction books that i really like,mission books that i really like.,fiction books that i really like
157,0.17,0.0,WORSE,you look down at your arm,you look down at your arms.,you look down at your arm
159,0.75,0.5,WORSE,he's nine months old,he's the most old uh.,he's the most old
161,0.67,0.33,WORSE,a male profession,a meal.,a male professor
164,0.33,0.0,WORSE,they have coupons,they have.,they have coupons
165,0.6,0.4,WORSE,i can't believe they can,i can't really.,i get it they can
179,0.4,0.0,WORSE,a million dollars a year,a million dollars in awe.,a million dollars a year
193,0.12,0.0,WORSE,tim would like to take on other genres,tim would like to take on other sheriffs.,tim would like to take on other genres
195,0.25,0.0,WORSE,through the newspaper reviews,through the newspaper refuse.,through the newspaper reviews
203,0.17,0.0,WORSE,you can't get all of us,you you can't get all of us.,you can't get all of us
211,0.25,0.0,WORSE,we always seem to,we always seem to owe.,we always seem to
219,0.25,0.0,WORSE,a liberal arts school,a a liberal arts school.,a liberal arts school
